PARAMETER,YEAR,REGION,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2006,Theni,10,77.5,19.64,21.08,24.94,27.04,26.29,24.05,22.97,22.86,22.69,22.47,21.61,19.41,22.93
T2M,2006,Dindigul,10,78.125,22.29,23.97,27.93,30.46,29.91,28.23,27.73,27.49,26.13,25.93,24.18,22.45,26.4
T2M,2006,Tiruchirappalli,10,78.75,23.33,25.08,28.51,30.86,30.16,29.39,29.87,29.08,26.92,27.03,25.24,23.86,27.46
T2M,2006,Thanjavur,10,79.375,24.76,25.99,28.56,30.2,29.84,29.7,30.09,29.21,27.9,27.9,26.51,25.65,28.04
T2M,2006,Nagapattinam,10,80,25.49,26.21,28.11,29.6,29.38,29.23,29.26,28.61,28.02,27.96,27.08,26.71,27.98
T2M,2006,Dindigul,10.5,77.5,20.83,22.34,26.57,29.09,27.89,25.67,24.77,24.79,24.62,24.3,22.88,21.13,24.58
T2M,2006,Dindigul,10.5,78.125,21.95,23.3,27.86,30.65,30.1,28.42,28.21,27.83,26.52,26.3,24.25,22.52,26.51
T2M,2006,Tiruchirappalli,10.5,78.75,22.8,24.35,28.51,31.24,30.58,29.62,30.3,29.39,27.15,27.17,25.01,23.58,27.49
T2M,2006,Thanjavur,10.5,79.375,23.75,25.16,28.63,30.85,30.36,30.24,30.85,29.87,27.89,27.74,25.77,24.61,27.99
T2M,2006,Nagapattinam,10.5,80,25.12,25.92,28.08,29.74,29.66,29.59,29.84,29.12,28.18,27.97,26.84,26.36,28.05
T2M,2006,Erode,11,77.5,22.09,23.76,28.32,31.36,29.76,27.63,27.35,27.41,26.73,26.25,24.29,22.88,26.5
T2M,2006,Namakkal,11,78.125,21.92,23.26,28.21,31.24,30.19,28.58,28.88,28.33,26.89,26.58,24.45,22.78,26.79
T2M,2006,Perambalur,11,78.75,22.21,23.78,28.23,31.25,30.29,29.24,30.06,29.12,27.06,26.87,24.63,23.07,27.17
T2M,2006,Cuddalore,11,79.375,23.21,24.51,28.44,31.24,30.67,30.45,31.21,30.18,27.99,27.64,25.41,24.09,27.94
T2M,2006,Bay of Bengal,11,80,24.82,25.51,27.98,29.84,29.84,29.84,30.16,29.45,28.35,28.01,26.65,26.05,28.06
T2M,2006,Coimbatore,11.5,77.5,21.17,22.81,27.44,30.56,29.12,27.17,27.12,27.18,26.23,25.61,23.55,22.05,25.85
T2M,2006,Salem,11.5,78.125,21.31,22.77,27.82,31.03,29.71,28.2,28.69,28.29,26.67,26.13,23.9,22.01,26.4
T2M,2006,Kallakurichi,11.5,78.75,21.41,22.98,27.51,30.62,29.51,28.52,29.33,28.66,26.72,26.23,23.93,22.21,26.49
T2M,2006,Villupuram,11.5,79.375,23.18,24.38,28.22,31.32,30.79,30.44,31.35,30.41,28.23,27.6,25.28,23.87,27.94
T2M,2006,Puducherry,11.5,80,24.7,25.18,27.77,29.69,29.84,29.79,30.17,29.57,28.47,28.01,26.6,25.92,27.99
T2M,2006,Tenkasi,9.5,77.5,20.93,22.76,26.41,28.27,26.89,24.69,23.91,23.77,23.61,23.55,22.86,20.93,24.05
T2M,2006,Madurai,9.5,78.125,23.43,25.6,28.78,31.03,29.78,27.87,27.24,27.27,26.27,26.05,24.9,23.45,26.81
T2M,2006,Sivagangai,9.5,78.75,24.24,25.91,28.55,30.4,29.67,28.86,28.58,28.27,27.06,27.06,25.93,24.75,27.45
T2M,2006,Ramanathapuram,9.5,79.375,25.58,26.43,28.36,29.63,29.34,28.99,28.69,28.29,27.94,27.97,27.16,26.63,27.92
T2M,2006,Rameswaram,9.5,80,25.4,26.27,28.16,29.62,29.2,29.02,28.67,28.24,27.85,27.86,26.94,26.5,27.82
T2M,2007,Theni,10,77.5,20.1,22.63,26.37,27.02,26.63,24.67,23.33,23.01,22.95,22.4,21.28,20.38,23.4
T2M,2007,Dindigul,10,78.125,23.64,26.14,29.61,30.18,30.88,29.01,27.96,27.7,27.41,26.43,24.23,23.22,27.2
T2M,2007,Tiruchirappalli,10,78.75,24.8,26.94,29.57,30.39,31.26,29.97,29.32,28.74,28.49,27.46,25.09,24.17,28.02
T2M,2007,Thanjavur,10,79.375,25.66,26.79,28.52,29.79,30.58,29.97,29.46,28.76,28.81,27.98,26.25,25.34,28.16
T2M,2007,Nagapattinam,10,80,26.02,26.58,27.77,29.13,29.86,29.43,28.8,28.24,28.45,27.9,27.01,26.18,27.95
T2M,2007,Dindigul,10.5,77.5,21.96,24.47,28.34,29.14,27.99,26.19,24.85,24.64,24.72,24.09,22.57,21.73,25.06
T2M,2007,Dindigul,10.5,78.125,23.7,26.11,29.84,30.73,30.78,29.1,27.89,27.5,27.4,26.35,24.06,23.03,27.21
T2M,2007,Tiruchirappalli,10.5,78.75,24.68,26.88,29.87,30.82,31.48,30.22,29.34,28.6,28.43,27.32,24.68,23.76,28.01
T2M,2007,Thanjavur,10.5,79.375,25.19,26.75,28.96,30.31,31.28,30.54,29.93,29.09,28.85,27.84,25.21,24.44,28.21
T2M,2007,Nagapattinam,10.5,80,25.9,26.53,27.74,29.18,30.15,29.85,29.31,28.58,28.6,27.98,26.67,25.86,28.04
T2M,2007,Erode,11,77.5,23.87,26.55,30.44,31.23,29.78,28.07,26.71,26.55,26.65,25.96,23.84,23.12,26.89
T2M,2007,Namakkal,11,78.125,23.99,26.53,30.28,31.28,30.81,29.21,27.85,27.34,27.27,26.4,23.89,23.02,27.32
T2M,2007,Perambalur,11,78.75,23.99,26.28,29.59,30.67,31.14,29.88,28.71,27.9,27.71,26.73,23.98,23.19,27.48
T2M,2007,Cuddalore,11,79.375,24.55,26.34,29.05,30.51,31.74,30.84,29.98,28.93,28.55,27.57,24.68,23.99,28.07
T2M,2007,Bay of Bengal,11,80,25.63,26.41,27.78,29.26,30.46,30.13,29.6,28.76,28.64,27.97,26.44,25.59,28.06
T2M,2007,Coimbatore,11.5,77.5,23.04,25.8,29.5,30.41,29.3,27.54,26.34,25.9,25.8,25.16,22.62,22.2,26.13
T2M,2007,Salem,11.5,78.125,23.25,25.94,29.78,30.8,30.42,28.79,27.56,26.73,26.42,25.71,22.88,22.27,26.71
T2M,2007,Kallakurichi,11.5,78.75,22.94,25.22,28.76,29.89,30.38,29.02,27.99,26.96,26.52,25.7,22.88,22.33,26.55
T2M,2007,Villupuram,11.5,79.375,24.01,25.83,28.8,30.37,31.91,30.93,30.01,28.62,28.1,27.3,24.54,23.88,27.87
T2M,2007,Puducherry,11.5,80,25.27,26.1,27.63,29.2,30.53,30.15,29.65,28.66,28.49,27.89,26.36,25.48,27.96
T2M,2007,Tenkasi,9.5,77.5,21.63,24.33,28.2,27.86,27.13,25.21,23.93,23.79,23.69,23.36,22.6,21.61,24.44
T2M,2007,Madurai,9.5,78.125,24.67,27.39,30.12,30.3,30.77,28.78,27.7,27.73,27.35,26.8,25.02,24.23,27.57
T2M,2007,Sivagangai,9.5,78.75,25.13,27.02,29.14,30.1,30.74,29.57,28.63,28.46,28.33,27.55,25.91,25.05,27.97
T2M,2007,Ramanathapuram,9.5,79.375,26.01,26.73,28.15,29.46,29.95,29.34,28.53,28.16,28.53,27.87,27.16,26.18,28.01
T2M,2007,Rameswaram,9.5,80,25.9,26.67,28.09,29.35,29.83,29.07,28.37,28.05,28.3,27.64,26.91,26.05,27.86
T2M,2008,Theni,10,77.5,21.02,23.25,22.93,25.2,25.79,24.03,23.61,23.51,23.32,23.38,22.07,20.11,23.18
T2M,2008,Dindigul,10,78.125,23.29,26.01,25.81,28.2,29.76,28.9,28.48,27.48,27.39,26.73,24.94,22.5,26.62
T2M,2008,Tiruchirappalli,10,78.75,24.19,26.78,26.78,28.86,30.09,30.05,29.51,28.36,28.27,27.57,25.99,23.72,27.51
T2M,2008,Thanjavur,10,79.375,25,26.96,27.32,29.03,29.84,29.87,29.39,28.65,28.81,28.21,27.11,25.4,27.96
T2M,2008,Nagapattinam,10,80,25.71,26.89,27.35,28.9,29.22,29.24,28.88,28.31,28.76,28.38,27.67,26.49,27.98
T2M,2008,Dindigul,10.5,77.5,21.84,24.45,24.53,27.05,27.3,25.81,25.21,24.93,24.88,24.87,23.36,21.06,24.6
T2M,2008,Dindigul,10.5,78.125,22.84,25.69,25.8,28.52,29.85,28.85,28.25,27.21,27.11,26.57,24.72,22.14,26.46
T2M,2008,Tiruchirappalli,10.5,78.75,23.52,26.31,26.54,29.1,30.48,30.21,29.48,28.16,27.95,27.31,25.61,23.15,27.31
T2M,2008,Thanjavur,10.5,79.375,23.99,26.41,26.85,29.11,30.48,30.28,29.69,28.77,28.68,27.88,26.35,24.31,27.73
T2M,2008,Nagapattinam,10.5,80,25.32,26.7,27.16,28.97,29.61,29.61,29.2,28.56,28.89,28.23,27.41,26.1,27.98
T2M,2008,Erode,11,77.5,22.99,25.99,26.33,28.98,29.39,27.99,27.34,26.78,26.7,26.36,24.61,22.21,26.3
T2M,2008,Namakkal,11,78.125,22.77,25.92,26.16,28.93,30.06,28.95,28.34,27.18,27.02,26.61,24.72,22.05,26.55
T2M,2008,Perambalur,11,78.75,22.85,25.7,26.07,28.83,30.44,29.69,29.04,27.63,27.46,26.78,25.04,22.5,26.83
T2M,2008,Cuddalore,11,79.375,23.4,25.81,26.42,29.05,31.06,30.48,29.93,28.71,28.61,27.61,25.92,23.77,27.56
